,watershed_id,name,official_id,centroid_lat_deg_n,centroid_lon_deg_e,drainage_area_km2,drainage_area_gsim_km2,flag_gsim_boundaries,flag_artificial_boundaries,elevation_m,slope_deg,gravelius,perimeter,flag_shape_extraction,aspect_deg,flag_terrain_extraction,land_use_forest_frac_2010,land_use_grass_frac_2010,land_use_wetland_frac_2010,land_use_water_frac_2010,land_use_urban_frac_2010,land_use_shrubs_frac_2010,land_use_crops_frac_2010,land_use_snow_ice_frac_2010,flag_land_use_extraction,logk_ice_x100,porosity_x100,flag_subsoil_extraction,year_from,year_to,record_length,agency,status,updated_official_basin,prcp,tmin,tmax,vp,swe,srad,high_prcp_freq,low_prcp_freq,high_prcp_duration,low_prcp_duration
0,2075,FRY CREEK BELOW CARNEY CREEK,08NH130,50.082,-116.7849,585.044,,False,False,2002.4,27.0683,1.4108,120.24,True,286.5567,True,50.849999999999994,33.95,0.15,0.33,0.0,5.37,0.0,9.35,True,-1350.0,10.0,True,2011,2019,9,WSC,D,False,1263,-4.714,6.11,538.785,455.76,296.158,3,55,1.001,3.148
1,929,LITTLE RED DEER RIVER NEAR THE MOUTH,05CB001,52.02824,-114.1403,2578.3389,,False,False,1185.6,2.93,1.9625,350.759,True,74.125,True,22.42,9.87,0.09,1.1199999999999999,3.62,3.54,59.34,0.0,True,-1530.0,20.0,True,2012,2021,10,WSC,A,False,521,-3.654,9.561,515.621,53.041,270.515,6,74,1.003,5.293
2,2269,SOUTH NAHANNI RIVER ABOVE CLAUSEN CREEK,10EC001,61.26333,-124.0697,31100.0,32449.91,True,False,1281.6,18.9696,2.3191,1520.654,True,126.9306,True,51.42,37.5,0.03,1.08,0.0,9.47,0.0,0.49,True,-1480.0,10.0,True,1969,1995,27,WSC,D,False,607,-11.338,-0.184,347.702,226.995,199.265,5,69,1.013,4.329
3,2105,SHER CREEK NEAR CRESCENT VALLEY,08NJ154,49.45472,-117.5986,1.3,,False,True,762.4,12.0214,,,False,175.9128,True,87.5,0.0,0.0,0.0,0.0,12.5,0.0,0.0,True,,,False,1966,1969,4,WSC,D,False,847,2.9014456272125244,13.422398567199707,801.517822265625,41.209068298339844,253.414794921875,4,59,1.0,3.6
4,1970,STAVE RIVER ABOVE STAVE LAKE,08MH147,49.55619,-122.3231,289.698,,False,False,1274.7,23.3237,2.3334,139.999,True,189.7641,True,48.82,16.509999999999998,0.0,3.4799999999999995,0.03,6.64,0.0,24.52,True,-1410.0,0.0,True,2011,2021,11,WSC,A,False,3808,0.833,7.751,710.776,471.231,252.254,4,53,1.07,3.619
5,14198,DOROTHY LK OUTLET NR JUNEAU AK,15039900,58.24856608,-133.9834106,28.4897,,False,True,915.8,24.9969,,,False,307.2408,True,0.0,13.33,0.0,0.0,0.0,86.67,0.0,0.0,True,,,False,1986,2003,17,USGS,D,False,4391,-4.529,3.901,518.368,1552.0,221.071,1,36,0.796,2.8
6,14193,WHITE C NR KETCHIKAN AK,15011870,55.4138425,-130.4622504,6.9929,,False,True,575.7,23.9176,,,False,115.2029,True,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,True,,,False,1977,1984,7,USGS,D,False,3025,0.969,8.495,723.02,223.132,200.521,2,37,1.0,2.8
7,14265,HILDA C NR DOUGLAS AK,15108600,58.22689146,-134.4989966,6.7857,,False,True,49.1,5.3858,,,False,198.769,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False,1966,1971,5,USGS,D,False,2963,-0.16,6.97,671.939,262.133,189.624,1,37,0.95,2.9
8,1697,MCALISTER CREEK AT THOMPSON SOUND,08GF006,50.79689,-126.0096,36.9387,,False,False,801.7,26.7462,1.5269,32.683,True,292.2112,True,88.56,9.879999999999999,0.0,0.53,0.0,0.84,0.0,0.19,True,-1410.0,0.0,True,2011,2013,3,WSC,D,False,2799,1.206,9.512,722.97,318.116,235.901,4,53,1.0,3.656
9,2127,TULAMEEN RIVER AT PRINCETON,08NL024,49.45771,-120.5186,1777.89,,False,False,1353.1,12.2117,1.8409,273.641,True,121.0023,True,71.82,12.959999999999999,0.0,0.59,0.76,13.41,0.42,0.03,True,-1320.0,10.0,True,2011,2021,11,WSC,A,False,964,-2.03,9.057,543.85,211.099,294.147,5,64,1.007,3.837
10,972,RAM RIVER NEAR THE MOUTH,05DC006,52.36859,-115.4222,1853.5915,,False,False,1820.3,13.5904,1.9048,288.589,True,72.726,True,74.76,19.86,0.32,0.33999999999999997,0.29,4.3,0.0,0.15,True,-1550.0,20.0,True,1976,1999,18,WSC,A,False,719,-6.32,5.975,442.012,150.044,278.856,5,68,1.001,4.358
11,971,CLEARWATER RIVER NEAR DOVERCOURT,05DB006,52.2521,-114.8558,2252.7581,,False,False,1752.0,13.3451,2.2396,374.092,True,81.7846,True,60.91,27.32,0.35000000000000003,1.02,0.9199999999999999,4.31,4.42,0.75,True,-1540.0,20.0,True,2012,2021,10,WSC,A,False,739,-6.13,6.188,450.234,176.467,280.668,5,68,1.003,4.376
12,1628,THAUTIL CORNER CREEK NEAR MORICE LAKE,08ED004,54.25583,-127.3497,4.22,,False,True,870.6,5.2144,,,False,266.3728,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False,2011,2021,11,WSC,A,False,1221,-2.687,5.631,563.845,241.602,246.426,4,58,1.1,3.267
13,1751,NIMPKISH RIVER ABOVE WOSS RIVER,08HF005,50.21483,-126.6108,783.111,,False,False,718.3,20.8959,1.641,161.806,True,301.8659,True,84.94,6.4799999999999995,0.0,2.9499999999999997,0.22999999999999998,4.9799999999999995,0.0,0.42,True,-1350.0,0.0,True,2011,2022,12,WSC,A,False,3564,1.704,10.951,759.131,690.004,246.337,4,45,1.001,3.379
14,1906,SPIUS CREEK BELOW SILVER CREEK,08LG068,49.95027,-121.0964,177.602,,False,False,1421.9,14.5424,1.4054,66.006,True,135.9938,True,88.51,3.9800000000000004,0.0,0.29,0.0,7.19,0.0,0.04,True,-1410.0,0.0,True,2013,2021,9,WSC,D,False,945,-2.24,8.377,540.02,182.084,288.208,6,69,1.013,4.486
15,1966,ANDERSON CREEK AT THE MOUTH,08MH104,49.09278,-122.6828,27.2,,False,True,26.8,1.3845,,,False,265.0206,True,0.0,0.0,0.0,0.0,31.25,62.5,6.25,0.0,True,,,False,1965,1987,23,WSC,D,False,1424,6.259,14.518,979.116,12.327,240.823,4,55,1.0,3.917
16,2130,TREHEARNE CREEK NEAR PRINCETON,08NL037,49.58972,-120.3925,16.1,,False,True,1038.8,13.9596,,,False,248.498,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False,1964,1979,16,WSC,D,False,557,-2.342,9.564,509.866,122.602,296.776,5,68,1.0,4.119
17,14211,BRIDGET COVE TR NR AUKE BAY AK,15054600,58.6202339,-134.93735,2.4605,,False,True,33.9,5.1738,,,False,302.5409,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False,1970,1973,3,USGS,D,False,1858,1.742,8.539,757.815,66.718,166.661,2,40,1.0,3.0
18,1357,ATHABASCA RIVER AT HINTON,07AD002,53.42429,-117.5694,9764.7737,,False,False,1924.4,19.9339,2.1168,735.994,True,317.4896,True,50.029999999999994,36.5,0.16999999999999998,1.87,0.35000000000000003,3.27,0.0,7.8100000000000005,True,-1520.0,20.0,True,2012,2021,8,WSC,A,False,727,-7.659,5.379,402.977,228.514,280.007,5,66,1.022,3.977
19,14239,NECK C NR POINT BAKER AK,15086500,56.09825466,-133.1406038,44.0296,,False,True,81.4,7.9213,,,False,108.7028,True,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False,1960,1967,7,USGS,D,False,3380,3.404,9.8,826.506,26.433,175.535,1,34,0.922,2.976
